refshort,patch_type,diversity_index,diversity_value,sd,n_pairs,habitat_amount,number_patches
Aizen_1994,fragmented,alpha,5.5,1.623488308,15,48.9274,27
Aizen_1994,fragmented,gamma,11,3.233750587,15,48.9274,27
Aizen_1994,fragmented,beta,2,0.153654682,15,48.9274,27
Aizen_1994,continuous,alpha,10.5,2.041241452,7,59.8576,20
Aizen_1994,continuous,gamma,19,3.915780041,7,59.8576,20
Aizen_1994,continuous,beta,1.80952381,0.102220891,7,59.8576,20
Almeida-Gomes_2014,fragmented,alpha,2,0.273861279,5,25.9426,104
Almeida-Gomes_2014,fragmented,gamma,3,0.447213595,5,25.9426,104
Almeida-Gomes_2014,fragmented,beta,1.5,0.194935887,5,25.9426,104
Almeida-Gomes_2014,continuous,alpha,2.5,0,1,84.3287,33
Almeida-Gomes_2014,continuous,gamma,3,0,1,84.3287,33
Almeida-Gomes_2014,continuous,beta,1.2,0,1,84.3287,33
Arroyo_Rodriguez_2016,fragmented,alpha,13,1.416666667,9,57.4243,71
Arroyo_Rodriguez_2016,fragmented,gamma,19,1.787300882,9,57.4243,71
Arroyo_Rodriguez_2016,fragmented,beta,1.461538462,0.083795151,9,57.4243,71
Arroyo_Rodriguez_2016,continuous,alpha,14,4.242640687,2,85.6412,22
Arroyo_Rodriguez_2016,continuous,gamma,18,4.242640687,2,85.6412,22
Arroyo_Rodriguez_2016,continuous,beta,1.285714286,0.060609153,2,85.6412,22
Banks_Leite_2009,fragmented,alpha,41,4.894491185,14,40.2046,84
Banks_Leite_2009,fragmented,gamma,57,5.38057148,14,40.2046,84
Banks_Leite_2009,fragmented,beta,1.390243902,0.072228001,14,40.2046,84
Banks_Leite_2009,continuous,alpha,35.5,0.577350269,3,87.1646,4
Banks_Leite_2009,continuous,gamma,48,2,3,87.1646,4
Banks_Leite_2009,continuous,beta,1.352112676,0.037815937,3,87.1646,4
Bernard_2007,fragmented,alpha,13.5,1.669045921,7,34.0919,33.5
Bernard_2007,fragmented,gamma,18,1.799470822,7,34.0919,33.5
Bernard_2007,fragmented,beta,1.333333333,0.092368526,7,34.0919,33.5
Bernard_2007,continuous,alpha,22,3.253203549,3,83.4861,9
Bernard_2007,continuous,gamma,30,7,3,83.4861,9
Bernard_2007,continuous,beta,1.363636364,0.118384093,3,83.4861,9
Bogoni_2016,fragmented,alpha,11.5,1.414213562,2,82.1206,25
Bogoni_2016,fragmented,gamma,16,1.414213562,2,82.1206,25
Bogoni_2016,fragmented,beta,1.391304348,0.040991697,2,82.1206,25
Bogoni_2016,continuous,alpha,13,1.755942292,3,92.4225,3
Bogoni_2016,continuous,gamma,18,1.527525232,3,92.4225,3
Bogoni_2016,continuous,beta,1.384615385,0.073488453,3,92.4225,3
Bolger_1997,fragmented,alpha,2,1.766981104,10,28.9242,202
Bolger_1997,fragmented,gamma,2,2.213594362,10,28.9242,202
Bolger_1997,fragmented,beta,1,0.341947298,10,28.9242,202
Bolger_1997,continuous,alpha,4,0.353553391,2,40.0291,199
Bolger_1997,continuous,gamma,5,0,2,40.0291,199
Bolger_1997,continuous,beta,1.25,0.126269068,2,40.0291,199
Bossart_2006,fragmented,alpha,34,0.866025404,3,7.6417,136
Bossart_2006,fragmented,gamma,46,2,3,7.6417,136
Bossart_2006,fragmented,beta,1.352941176,0.033703574,3,7.6417,136
Bossart_2006,continuous,alpha,55,0,1,69.5881,49.5
Bossart_2006,continuous,gamma,68,0,1,69.5881,49.5
Bossart_2006,continuous,beta,1.236363636,0,1,69.5881,49.5
Bossart_2016,fragmented,alpha,49,4.732423622,4,65.7326,31
Bossart_2016,fragmented,gamma,66,6.291528696,4,65.7326,31
Bossart_2016,fragmented,beta,1.346938776,0.042206404,4,65.7326,31
Bossart_2016,continuous,alpha,73.5,0,1,75.1473,72
Bossart_2016,continuous,gamma,99,0,1,75.1473,72
Bossart_2016,continuous,beta,1.346938776,0,1,75.1473,72
Bragagnolo_2007,fragmented,alpha,9,1.290994449,6,43.88635,73
Bragagnolo_2007,fragmented,gamma,14,2.50998008,6,43.88635,73
Bragagnolo_2007,fragmented,beta,1.555555556,0.134843996,6,43.88635,73
Bragagnolo_2007,continuous,alpha,13.5,4.792355023,6,87.84845,7
Bragagnolo_2007,continuous,gamma,17,5.059644256,6,87.84845,7
Bragagnolo_2007,continuous,beta,1.259259259,0.115060499,6,87.84845,7
Cayuela_2006,fragmented,alpha,23.5,13.52466882,4,65.20295,51
Cayuela_2006,fragmented,gamma,43,26.66302058,4,65.20295,51
Cayuela_2006,fragmented,beta,1.829787234,0.272290968,4,65.20295,51
Cayuela_2006,continuous,alpha,29,12.86699358,7,66.3528,50
Cayuela_2006,continuous,gamma,44,26.73948391,7,66.3528,50
Cayuela_2006,continuous,beta,1.517241379,0.182764382,7,66.3528,50
Chiarello_1999,fragmented,alpha,10.5,1.060660172,2,91.29295,7
Chiarello_1999,fragmented,gamma,14,2.121320344,2,91.29295,7
Chiarello_1999,fragmented,beta,1.333333333,0.058925565,2,91.29295,7
Chiarello_1999,continuous,alpha,12,0,1,94.2573,17
Chiarello_1999,continuous,gamma,14,0,1,94.2573,17
Chiarello_1999,continuous,beta,1.166666667,0,1,94.2573,17
Develey_2004,fragmented,alpha,51,5.087377542,13,38.6031,72
Develey_2004,fragmented,gamma,62,8.384968235,13,38.6031,72
Develey_2004,fragmented,beta,1.215686275,0.077227996,13,38.6031,72
Develey_2004,continuous,alpha,50,4.358898944,3,67.04645,27.5
Develey_2004,continuous,gamma,66,5.567764363,3,67.04645,27.5
Develey_2004,continuous,beta,1.32,0.062226736,3,67.04645,27.5
Didham_1999,fragmented,alpha,59.5,15.60952567,16,69.46755,50.5
Didham_1999,fragmented,gamma,95,26.34767542,16,69.46755,50.5
Didham_1999,fragmented,beta,1.596638655,0.055778292,16,69.46755,50.5
Didham_1999,continuous,alpha,96,19.61438719,24,90.2081,6.5
Didham_1999,continuous,gamma,157,29.14503339,24,90.2081,6.5
Didham_1999,continuous,beta,1.635416667,0.059486951,24,90.2081,6.5
Fujita_2008,fragmented,alpha,5.5,1.701714821,4,19.8497,75.5
Fujita_2008,fragmented,gamma,8,4.031128874,4,19.8497,75.5
Fujita_2008,fragmented,beta,1.454545455,0.177266719,4,19.8497,75.5
Fujita_2008,continuous,alpha,6.5,0.353553391,2,70.1775,18
Fujita_2008,continuous,gamma,10,0,2,70.1775,18
Fujita_2008,continuous,beta,1.538461538,0.077704042,2,70.1775,18
Garmendia_etal_2013,fragmented,alpha,7,1.224319539,16,65.1344,64
Garmendia_etal_2013,fragmented,gamma,10,1.990602924,16,65.1344,64
Garmendia_etal_2013,fragmented,beta,1.428571429,0.141455898,16,65.1344,64
Garmendia_etal_2013,continuous,alpha,5.5,1.258305739,3,90.26865,13
Garmendia_etal_2013,continuous,gamma,8,2.081665999,3,90.26865,13
Garmendia_etal_2013,continuous,beta,1.454545455,0.063399075,3,90.26865,13
Gaublomme_2008,fragmented,alpha,27.5,13.59665575,7,54.9315,97
Gaublomme_2008,fragmented,gamma,40,17.27095001,7,54.9315,97
Gaublomme_2008,fragmented,beta,1.454545455,0.078161072,7,54.9315,97
Gaublomme_2008,continuous,alpha,54.5,0,1,82.8228,17
Gaublomme_2008,continuous,gamma,72,0,1,82.8228,17
Gaublomme_2008,continuous,beta,1.321100917,0,1,82.8228,17
Gibb_2002,fragmented,alpha,17,2.610931689,8,10.5883,42
Gibb_2002,fragmented,gamma,23,2.973093627,8,10.5883,42
Gibb_2002,fragmented,beta,1.352941176,0.094241593,8,10.5883,42
Gibb_2002,continuous,alpha,29,3.535533906,2,74.8572,17.5
Gibb_2002,continuous,gamma,44,5.656854249,2,74.8572,17.5
Gibb_2002,continuous,beta,1.517241379,0.012191496,2,74.8572,17.5
Goodman_2000,fragmented,alpha,3,0.866025404,4,17.77455,75
Goodman_2000,fragmented,gamma,4,1.154700538,4,17.77455,75
Goodman_2000,fragmented,beta,1.333333333,0,4,17.77455,75
Goodman_2000,continuous,alpha,6,0.707106781,2,61.1773,27
Goodman_2000,continuous,gamma,9,1.414213562,2,61.1773,27
Goodman_2000,continuous,beta,1.5,0.070710678,2,61.1773,27
Lima_1999_a,fragmented,alpha,4.5,0.763762616,3,98.97095,1
Lima_1999_a,fragmented,gamma,7,1,3,98.97095,1
Lima_1999_a,fragmented,beta,1.555555556,0.050589156,3,98.97095,1
Lima_1999_a,continuous,alpha,4,0.577350269,3,93.79085,7.5
Lima_1999_a,continuous,gamma,6,0.577350269,3,93.79085,7.5
Lima_1999_a,continuous,beta,1.5,0.057735027,3,93.79085,7.5
Lima_1999_b,fragmented,alpha,7.5,1.443375673,3,97.56705,5
Lima_1999_b,fragmented,gamma,11,1.154700538,3,97.56705,5
Lima_1999_b,fragmented,beta,1.466666667,0.19245009,3,97.56705,5
Lima_1999_b,continuous,alpha,4,1.527525232,3,89.1784,15.5
Lima_1999_b,continuous,gamma,6,2,3,89.1784,15.5
Lima_1999_b,continuous,beta,1.5,0.086110197,3,89.1784,15.5
Magnago_2015,fragmented,alpha,14,2.961014291,72,55.2041,58
Magnago_2015,fragmented,gamma,26,5.728450126,72,55.2041,58
Magnago_2015,fragmented,beta,1.857142857,0.099578483,72,55.2041,58
Magnago_2015,continuous,alpha,11.5,2.43153732,45,99.66245,1.5
Magnago_2015,continuous,gamma,22,4.319090813,45,99.66245,1.5
Magnago_2015,continuous,beta,1.913043478,0.101788753,45,99.66245,1.5
Montgomery_2014,fragmented,alpha,17,4.8876261,10,88.7071,6
Montgomery_2014,fragmented,gamma,24,6.838615844,10,88.7071,6
Montgomery_2014,fragmented,beta,1.411764706,0.139728363,10,88.7071,6
Montgomery_2014,continuous,alpha,28,5.656854249,2,99.9444,1
Montgomery_2014,continuous,gamma,37,4.242640687,2,99.9444,1
Montgomery_2014,continuous,beta,1.321428571,0.089791337,2,99.9444,1
Nemesio_2010,fragmented,alpha,8,2.422120283,6,21.4249,52
Nemesio_2010,fragmented,gamma,11,3.011090611,6,21.4249,52
Nemesio_2010,fragmented,beta,1.375,0.134797896,6,21.4249,52
Nemesio_2010,continuous,alpha,7,0,2,56.1833,52
Nemesio_2010,continuous,gamma,8,0.707106781,2,56.1833,52
Nemesio_2010,continuous,beta,1.142857143,0.101015254,2,56.1833,52
Nogueira_2016,fragmented,alpha,38,4.263214749,6,40.9998,97
Nogueira_2016,fragmented,gamma,55,4.844240567,6,40.9998,97
Nogueira_2016,fragmented,beta,1.447368421,0.047778778,6,40.9998,97
Nogueira_2016,continuous,alpha,50,3.750555514,6,87.66415,7.5
Nogueira_2016,continuous,gamma,68,3.600925807,6,87.66415,7.5
Nogueira_2016,continuous,beta,1.36,0.114917455,6,87.66415,7.5
Pinho_2019c,fragmented,alpha,21.5,6.210147669,14,27.63495,75
Pinho_2019c,fragmented,gamma,34,10.52782812,14,27.63495,75
Pinho_2019c,fragmented,beta,1.581395349,0.098707474,14,27.63495,75
Pinho_2019c,continuous,alpha,25.5,7.341766713,26,76.3274,23
Pinho_2019c,continuous,gamma,48,11.55328791,26,76.3274,23
Pinho_2019c,continuous,beta,1.882352941,0.139806302,26,76.3274,23
Pinho_2019d,fragmented,alpha,47,11.17215128,8,41.5966,90.5
Pinho_2019d,fragmented,gamma,64,14.52092087,8,41.5966,90.5
Pinho_2019d,fragmented,beta,1.361702128,0.113208319,8,41.5966,90.5
Pinho_2019d,continuous,alpha,79,45.3218671,19,99.9691,1
Pinho_2019d,continuous,gamma,145,63.28141917,19,99.9691,1
Pinho_2019d,continuous,beta,1.835443038,0.136588534,19,99.9691,1
Pinho_2019e,fragmented,alpha,24.5,3.667424164,5,32.7252,162
Pinho_2019e,fragmented,gamma,45,6.760177512,5,32.7252,162
Pinho_2019e,fragmented,beta,1.836734694,0.045041978,5,32.7252,162
Pinho_2019e,continuous,alpha,34.5,2.86550364,10,83.2301,30
Pinho_2019e,continuous,gamma,65,6.1110101,10,83.2301,30
Pinho_2019e,continuous,beta,1.884057971,0.056650963,10,83.2301,30
Pinho_2019f,fragmented,alpha,61.5,4.358898944,3,82.026,13.5
Pinho_2019f,fragmented,gamma,97,9.451631253,3,82.026,13.5
Pinho_2019f,fragmented,beta,1.577235772,0.05384203,3,82.026,13.5
Pinho_2019f,continuous,alpha,64,8.036375634,3,90.717,5
Pinho_2019f,continuous,gamma,104,10.44030651,3,90.717,5
Pinho_2019f,continuous,beta,1.625,0.038521878,3,90.717,5
Raheem_2009,fragmented,alpha,7.5,2.87544463,11,76.7984,30
Raheem_2009,fragmented,gamma,10,4.094341994,11,76.7984,30
Raheem_2009,fragmented,beta,1.333333333,0.187916548,11,76.7984,30
Raheem_2009,continuous,alpha,9.5,1.688721012,23,97.1258,3
Raheem_2009,continuous,gamma,16,2.783349704,23,97.1258,3
Raheem_2009,continuous,beta,1.684210526,0.1335865,23,97.1258,3
Rocha_2016,fragmented,alpha,23,3.213253803,5,96.96835,1
Rocha_2016,fragmented,gamma,30,2.966479395,5,96.96835,1
Rocha_2016,fragmented,beta,1.304347826,0.098322828,5,96.96835,1
Rocha_2016,continuous,alpha,21,1.816590212,6,99.8455,1
Rocha_2016,continuous,gamma,27,2.738612788,6,99.8455,1
Rocha_2016,continuous,beta,1.285714286,0.051396839,6,99.8455,1
Safar_2022a,fragmented,alpha,8,2.748819916,61,56.4559,206
Safar_2022a,fragmented,gamma,15,5.077756055,61,56.4559,206
Safar_2022a,fragmented,beta,1.875,0.177411737,61,56.4559,206
Safar_2022a,continuous,alpha,11.5,2.280090353,54,67.9771,51
Safar_2022a,continuous,gamma,20,4.584633892,54,67.9771,51
Safar_2022a,continuous,beta,1.739130435,0.118876678,54,67.9771,51
Silva_2022,fragmented,alpha,4,1.137348058,12,20.8024,109
Silva_2022,fragmented,gamma,6,1.556997888,12,20.8024,109
Silva_2022,fragmented,beta,1.5,0.110267923,12,20.8024,109
Silva_2022,continuous,alpha,5.5,0.707106781,2,59.65125,61
Silva_2022,continuous,gamma,7,0.707106781,2,59.65125,61
Silva_2022,continuous,beta,1.272727273,0.042854956,2,59.65125,61
Soto_2022,fragmented,alpha,6,1.573591585,7,36.8754,300
Soto_2022,fragmented,gamma,11,2,7,36.8754,300
Soto_2022,fragmented,beta,1.833333333,0.248819936,7,36.8754,300
Soto_2022,continuous,alpha,7,2.070196678,7,93.5593,30
Soto_2022,continuous,gamma,12,3.309438163,7,93.5593,30
Soto_2022,continuous,beta,1.714285714,0.108906101,7,93.5593,30
Struebig_2008,fragmented,alpha,9.5,2.341397629,8,79.26335,32.5
Struebig_2008,fragmented,gamma,18,2.295181288,8,79.26335,32.5
Struebig_2008,fragmented,beta,1.894736842,0.204101844,8,79.26335,32.5
Struebig_2008,continuous,alpha,13.5,1.5,7,99.7969,1
Struebig_2008,continuous,gamma,18,2.516611478,7,99.7969,1
Struebig_2008,continuous,beta,1.333333333,0.076153943,7,99.7969,1
Uehara_Prado_2007,fragmented,alpha,39.5,6.82519841,3,49.5659,66
Uehara_Prado_2007,fragmented,gamma,54,9.291573243,3,49.5659,66
Uehara_Prado_2007,fragmented,beta,1.367088608,0.001650516,3,49.5659,66
Uehara_Prado_2007,continuous,alpha,28.5,2.081665999,3,92.89455,7
Uehara_Prado_2007,continuous,gamma,36,5.196152423,3,92.89455,7
Uehara_Prado_2007,continuous,beta,1.263157895,0.085679337,3,92.89455,7
Vasconcelos_2006,fragmented,alpha,32.5,2.725234042,19,42.95585,27
Vasconcelos_2006,fragmented,gamma,44,3.712630568,19,42.95585,27
Vasconcelos_2006,fragmented,beta,1.353846154,0.050181119,19,42.95585,27
Vasconcelos_2006,continuous,alpha,33,4.697517075,6,82.95295,5
Vasconcelos_2006,continuous,gamma,48,5.706721184,6,82.95295,5
Vasconcelos_2006,continuous,beta,1.454545455,0.104706504,6,82.95295,5
