"","Diversity_type","moderator","Estimate","Std_Error","T_value","P_value"
"1","Alpha (all pairs)","Habitat amount",0.000482218041696531,0.000582164981637943,0.82831852980884,0.413103051805457
"2","Alpha (all pairs)","Number of pairs",-0.000101577354221877,0.000147974144302479,-0.686453398333152,0.496950139649204
"3","Alpha (all pairs)","Time after fragmentation",-0.000195550579359241,0.000641973058294982,-0.304608700992226,0.762468126672979
"4","Alpha (all pairs)","Continent",-0.00144777512192082,0.000564711954795006,-2.5637408764374,0.0148076408185966
"5","Beta (all pairs)","Habitat amount",8.04681219159677e-05,0.000176577015076256,0.45571119140969,0.651412543997478
"6","Beta (all pairs)","Number of pairs",-0.000113510369579053,4.05712786905447e-05,-2.79780113525254,0.0083082419356407
"7","Beta (all pairs)","Time after fragmentation",0.000290682459472288,0.000187327403015825,1.55173484921334,0.12972221256093
"8","Beta (all pairs)","Continent",-0.000153500315334908,0.00018359479245163,-0.836082076649035,0.408780650559746
"9","Gamma (all pairs)","Habitat amount",0.000911356592553277,0.00109559130822137,0.831839925813957,0.411139003101771
"10","Gamma (all pairs)","Number of pairs",-3.8024110614537e-05,0.000280293993229261,-0.135657957476941,0.892868921138525
"11","Gamma (all pairs)","Time after fragmentation",0.000647938545290363,0.00120487768360035,0.537762923248961,0.594143925264464
"12","Gamma (all pairs)","Continent",-0.00207757481143576,0.00110382279705635,-1.88216334811729,0.0681495999814076
"13","Alpha (all pairs) - q = 0","Habitat amount",0.000256653984624433,0.000717051255246807,0.357929761291741,0.722545548117363
"14","Alpha (all pairs) - q = 0","Number of pairs",-0.000241892101745374,0.000178024654251768,-1.35875619453968,0.182916654652993
"15","Alpha (all pairs) - q = 0","Time after fragmentation",0.000521682497082762,0.000780584675383388,0.668322750285273,0.508311459450266
"16","Alpha (all pairs) - q = 0","Continent",-0.00165017887130659,0.000698470919842241,-2.36255916234752,0.0238381251901879
"17","Beta (all pairs) - q = 0","Habitat amount",0.000281606402677662,0.000596603185307332,0.472016257393256,0.639844874963458
"18","Beta (all pairs) - q = 0","Number of pairs",0.000344147022049693,0.000140624874837843,2.44726989052637,0.0195549910990974
"19","Beta (all pairs) - q = 0","Time after fragmentation",0.000301773207548989,0.00065248487046441,0.462498398367767,0.646586485230149
"20","Beta (all pairs) - q = 0","Continent",0.00105798350225934,0.000600552015005306,1.76168504280182,0.0868563674342112
"21","Gamma (all pairs) - q = 0","Habitat amount",0.000227770590013479,0.000461083846500255,0.493989524339915,0.624399688380455
"22","Gamma (all pairs) - q = 0","Number of pairs",-8.66302315733818e-05,0.000116733996498703,-0.742116557059233,0.462968179929339
"23","Gamma (all pairs) - q = 0","Time after fragmentation",0.000535687465610292,0.000497794708948842,1.07612125235615,0.289235200825602
"24","Gamma (all pairs) - q = 0","Continent",-0.000732786892401866,0.000468319405229112,-1.56471605536689,0.126647323539929
"25","Alpha (all pairs) - q = 2","Habitat amount",-0.000146622156400596,0.000354806767354755,-0.413245095333809,0.681948048403264
"26","Alpha (all pairs) - q = 2","Number of pairs",-4.54770487138646e-05,9.01100632597138e-05,-0.504683351323274,0.616944173141346
"27","Alpha (all pairs) - q = 2","Time after fragmentation",-4.91334154322757e-05,0.000388847958495979,-0.126356367209226,0.900172935044769
"28","Alpha (all pairs) - q = 2","Continent",-0.000360992794208195,0.00036734510294489,-0.982707517574699,0.332496106245572
"29","Beta (all pairs) - q = 2","Habitat amount",-0.000507684585277006,0.000456408832201102,-1.11234610169268,0.273571498536123
"30","Beta (all pairs) - q = 2","Number of pairs",0.000259308162220623,0.000109649669736135,2.36487864345266,0.023710346897722
"31","Beta (all pairs) - q = 2","Time after fragmentation",-0.000125083386298019,0.000507401029438725,-0.246517801582672,0.806721575462583
"32","Beta (all pairs) - q = 2","Continent",-0.000327970115531334,0.000483050368143464,-0.678956351470844,0.501630875870533
"33","Gamma (all pairs) - q = 2","Habitat amount",-0.00014983658496388,0.000437526453958334,-0.342462915346713,0.734050714675152
"34","Gamma (all pairs) - q = 2","Number of pairs",-0.000101727002540131,0.000110102475719755,-0.923930201161492,0.361848991869429
"35","Gamma (all pairs) - q = 2","Time after fragmentation",0.000294076881985111,0.000476663657788837,0.616948402043663,0.541261642044085
"36","Gamma (all pairs) - q = 2","Continent",-0.00120734203580972,0.000410963934413741,-2.93782966024026,0.0058136306454093
"37","Alpha (nearest pairs)","Habitat amount",-8.14383200300611e-05,8.4641853337359e-05,-0.962151900259916,0.342573916571223
"38","Alpha (nearest pairs)","Number of pairs",-1.97770251936611e-05,4.47408588193214e-05,-0.442034992522771,0.661183289323371
"39","Alpha (nearest pairs)","Time after fragmentation",-8.47337090415505e-05,9.26741048054343e-05,-0.914319153332484,0.366805376217839
"40","Alpha (nearest pairs)","Continent",-4.17148120753027e-05,8.95047863104685e-05,-0.466062361521149,0.644058501645893
"41","Beta (nearest pairs)","Habitat amount",-6.31379279742481e-05,0.000113364465189658,-0.556946375291577,0.581108360189084
"42","Beta (nearest pairs)","Number of pairs",0.000103702683173076,5.69361256030343e-05,1.82138637068676,0.0771047769557947
"43","Beta (nearest pairs)","Time after fragmentation",-1.96558176891779e-05,0.000124471040735655,-0.157914785423237,0.875431520482697
"44","Beta (nearest pairs)","Continent",9.82163431406579e-05,0.000118052781326423,0.831969751471452,0.411066703915395
"45","Gamma (nearest pairs)","Habitat amount",0.129500840699695,0.115208561430541,1.12405570464284,0.268639971441258
"46","Gamma (nearest pairs)","Number of pairs",0.0382224246589,0.0610131592133628,0.626461982164148,0.535076846069535
"47","Gamma (nearest pairs)","Time after fragmentation",0.0757430849445692,0.127596969000228,0.593611945001876,0.556588903754092
"48","Gamma (nearest pairs)","Continent",0.0463343510857945,0.122528174609789,0.378152626800763,0.707601127736174
"49","Alpha (nearest pairs) - q = 0","Habitat amount",0.000304102639001664,0.000661901434472408,0.459437951277534,0.648760719276973
"50","Alpha (nearest pairs) - q = 0","Number of pairs",-0.000356482393868721,0.000341429663247114,-1.04408735456214,0.303602992967944
"51","Alpha (nearest pairs) - q = 0","Time after fragmentation",0.000333847158177727,0.000723790837592926,0.461248113181406,0.647474346655761
"52","Alpha (nearest pairs) - q = 0","Continent",-0.0015178152210895,0.000645998690871888,-2.34956392719766,0.0245656125866906
"53","Beta (nearest pairs) - q = 0","Habitat amount",0.000540759852040058,0.000585140201872733,0.924154331405301,0.361733933452187
"54","Beta (nearest pairs) - q = 0","Number of pairs",0.000700960413923482,0.000285688924877001,2.45357923561534,0.0192658780980212
"55","Beta (nearest pairs) - q = 0","Time after fragmentation",0.000364032737924545,0.00064469745107839,0.564656704188337,0.57590863240858
"56","Beta (nearest pairs) - q = 0","Continent",0.000273360408325089,0.000618331869865547,0.442093350912883,0.661141466285112
"57","Gamma (nearest pairs) - q = 0","Habitat amount",0.000223572725487901,0.000577849329366379,0.386904880088814,0.701169179120474
"58","Gamma (nearest pairs) - q = 0","Number of pairs",-0.000136384304781717,0.000301535349244104,-0.45229955666428,0.65384417893806
"59","Gamma (nearest pairs) - q = 0","Time after fragmentation",0.000796948845353135,0.000618750409152192,1.28799728220804,0.206197675456014
"60","Gamma (nearest pairs) - q = 0","Continent",-0.00106283831821367,0.000579057002484909,-1.83546406252357,0.0749459167754597
"61","Alpha (nearest pairs) - q = 2","Habitat amount",-0.000140678830857561,0.000315065882548586,-0.446506075870868,0.657982254433682
"62","Alpha (nearest pairs) - q = 2","Number of pairs",-7.40517826729373e-05,0.000164529579614089,-0.45008188100054,0.655426883012844
"63","Alpha (nearest pairs) - q = 2","Time after fragmentation",-5.34615976946739e-05,0.000345395148267105,-0.154783869903495,0.877880874757951
"64","Alpha (nearest pairs) - q = 2","Continent",-0.000323198176605766,0.000326261694124512,-0.990610244555475,0.328675321074285
"65","Beta (nearest pairs) - q = 2","Habitat amount",-0.000693424803261714,0.000466635711982553,-1.48600886184991,0.146229743585892
"66","Beta (nearest pairs) - q = 2","Number of pairs",0.000224174741089771,0.000248387722162108,0.902519412547555,0.372950554963482
"67","Beta (nearest pairs) - q = 2","Time after fragmentation",-2.91011732245175e-05,0.000526107467105393,-0.0553141231479382,0.956202767062803
"68","Beta (nearest pairs) - q = 2","Continent",-0.000539268347020237,0.000495415607712589,-1.08851707258502,0.283805696739009
"69","Gamma (nearest pairs) - q = 2","Habitat amount",-0.000188242426315526,0.000466114157099105,-0.403854771301234,0.688776558577495
"70","Gamma (nearest pairs) - q = 2","Number of pairs",-0.000278189490280749,0.000239411480238931,-1.16197222456967,0.25310944011273
"71","Gamma (nearest pairs) - q = 2","Time after fragmentation",0.000246376202113735,0.000509195101135144,0.483854227121374,0.631503051262211
"72","Gamma (nearest pairs) - q = 2","Continent",-0.00112852586878102,0.000450416557377892,-2.50551595028112,0.0170300905840731
